genre,title
"Drama,Thriller,War",Come and See
"Drama,Romance,Sci-Fi",Eternal Sunshine of the Spotless Mind
"Adventure,Sci-Fi",2001: A Space Odyssey
"Action,Adventure,Fantasy",Star Wars: Episode VI - Return of the Jedi
Drama,Capernaum
"Animation,Adventure,Comedy",Toy Story 3
"Crime,Drama,Mystery",High and Low
Drama,Requiem for a Dream
"Comedy,Drama",3 Idiots
"Comedy,Musical,Romance",Singin' in the Rain
"Animation,Drama,Fantasy",Your Name.
"Drama,Romance",Good Will Hunting
"Crime,Drama",Once Upon a Time in America
"Animation,Action,Adventure",Princess Mononoke
"Action,Adventure,Drama",Avengers: Endgame
"Drama,War",Das Boot
"Crime,Drama,Thriller",Joker
"Biography,Drama,History",Braveheart
"Animation,Adventure,Comedy",Toy Story
"Animation,Adventure,Comedy",Coco
"Biography,Drama,Music",Amadeus
"Adventure,Drama,War",Inglourious Basterds
"Action,Drama,Mystery",Oldboy
"Action,Drama,Thriller",The Dark Knight Rises
"Comedy,War",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Drama,American Beauty
"Animation,Action,Adventure",Spider-Man: Into the Spider-Verse
"Action,Adventure,Sci-Fi",Aliens
"Crime,Drama,Mystery",Witness for the Prosecution
"Comedy,Drama,War",The Great Dictator
"Action,Adventure,Sci-Fi",Avengers: Infinity War
"Drama,Horror",The Shining
"Drama,War",Paths of Glory
"Drama,Film-Noir",Sunset Blvd.
"Drama,Mystery,Thriller",The Lives of Others
"Animation,Adventure,Family",WALL·E
"Action,Adventure",Raiders of the Lost Ark
"Drama,Western",Django Unchained
"Mystery,Thriller",Memento
"Drama,Mystery,War",Apocalypse Now
"Comedy,Drama,Romance",City Lights
"Mystery,Thriller",Rear Window
"Horror,Sci-Fi",Alien
"Drama,Romance",Cinema Paradiso
Western,Once Upon a Time in the West
"Comedy,Drama,Romance",Modern Times
"Biography,Comedy,Drama",The Intouchables
"Action,Drama,Mystery",Harakiri
"Animation,Drama,War",Grave of the Fireflies
"Drama,Romance,War",Casablanca
"Crime,Drama,Mystery",The Usual Suspects
"Drama,Mystery,Sci-Fi",The Prestige
"Drama,Music",Whiplash
"Crime,Drama,Thriller",The Departed
"Crime,Drama",American History X
"Action,Adventure,Drama",Gladiator
"Animation,Adventure,Drama",The Lion King
"Action,Crime,Drama",Léon: The Professional
"Drama,Thriller",Parasite
"Horror,Mystery,Thriller",Psycho
"Biography,Drama,Music",The Pianist
"Animation,Adventure,Family",Spirited Away
"Adventure,Comedy,Sci-Fi",Back to the Future
"Action,Sci-Fi",Terminator 2: Judgment Day
"Action,Adventure,Fantasy",Star Wars: Episode IV - A New Hope
"Crime,Drama,Fantasy",The Green Mile
"Comedy,Drama,Romance",Life Is Beautiful
"Adventure,Drama,Sci-Fi",Interstellar
"Crime,Drama",City of God
"Drama,War",Saving Private Ryan
"Action,Adventure,Drama",The Lord of the Rings: The Return of the King
"Biography,Drama,History",Schindler's List
"Crime,Drama",12 Angry Men
"Crime,Drama,Thriller",The Silence of the Lambs
"Action,Drama",Seven Samurai
"Drama,Family,Fantasy",It's a Wonderful Life
"Crime,Drama,Mystery",Se7en
Drama,One Flew Over the Cuckoo's Nest
"Biography,Crime,Drama",Goodfellas
"Action,Sci-Fi",The Matrix
"Action,Adventure,Fantasy",Star Wars: Episode V - The Empire Strikes Back
"Action,Adventure,Sci-Fi",Inception
"Action,Adventure,Drama",The Lord of the Rings: The Two Towers
Drama,Fight Club
"Drama,Romance",Forrest Gump
"Adventure,Western","The Good, the Bad and the Ugly"
"Action,Adventure,Drama",The Lord of the Rings: The Fellowship of the Ring
"Crime,Drama",Pulp Fiction
